大拇指
食指
中指
无名指
小拇指
大拇指+食指
大拇指+小指
食指+中指
食指+小指
无名指+小指
大拇指+食指+中指
大拇指+食指+小指
食指+中指+无名指
食指+无名指+小指
中指+无名指+小指
食指+中指+无名指+小指
五指伸开
食指按压桌面
中指按压桌面
五指呈现抓形状
握拳
